Sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agriculture / forestry,203985.0,203794.0,194718.0,199986.0,224514.0,218485.0,192165.0,196189.0,188182.0,175616.0,218761.0,216537.0,226347.0,223227.0,203462.0,187405.0,190917.0,187734.0,193505.0,193183.0,187065.0,195574.0
Commercial and public services,1693959.0,1781194.0,1689405.0,2019216.0,2123793.0,2174527.0,2297716.0,2113347.0,2277385.0,2212136.0,2329280.0,2042567.0,2174016.0,2301249.0,2020375.0,2138371.0,2187672.0,2188798.0,2289241.0,2238093.0,2125736.0,2297888.0
Fishing,,,,,16.0,21.0,25.0,21.0,71.0,91.0,202.0,1458.0,2245.0,1441.0,1479.0,2324.0,1873.0,1896.0,1960.0,1712.0,2297.0,3824.0
Industry,5495813.0,5540542.0,5512010.0,5549420.0,5428642.0,5525664.0,5197372.0,5303421.0,5113378.0,4251387.0,4748673.0,4782233.0,4692068.0,4737503.0,4605118.0,4478790.0,4548216.0,4752461.0,4760901.0,4678118.0,4555139.0,5006695.0
Non-energy use,797600.0,769455.0,711381.0,739112.0,1030968.0,1047793.0,971677.0,1007840.0,976527.0,810270.0,951739.0,1007011.0,989772.0,935262.0,909554.0,870309.0,854585.0,883522.0,875104.0,910431.0,927165.0,913808.0
Other non-specified,310088.0,314175.0,277294.0,86911.0,90369.0,86390.0,141819.0,105144.0,95124.0,74758.0,90987.0,69784.0,62002.0,61038.0,52577.0,47322.0,43838.0,44906.0,41801.0,46846.0,44287.0,52286.0
Residential,5881127.0,6132070.0,6115573.0,6400378.0,6478315.0,6525385.0,6478367.0,6062178.0,6270181.0,6132611.0,6714436.0,5992713.0,6317546.0,6406428.0,5359002.0,5627713.0,5929943.0,5925583.0,5881730.0,5774911.0,5771401.0,6264526.0
Transport,186174.0,227631.0,219295.0,273340.0,305135.0,298118.0,286038.0,389145.0,400833.0,303265.0,306525.0,324184.0,258201.0,296025.0,292182.0,259015.0,259757.0,277912.0,279661.0,286059.0,207177.0,261156.0
