id,name,source_id,node_id,lat,long,country_code,comment,tags,nuts_id_1,nuts_id_2,nuts_id_3,uncertainty_nuts_id_1,uncertainty_nuts_id_2,uncertainty_nuts_id_3,method_nuts_id_1,method_nuts_id_2,method_nuts_id_3
N_136_NS_LMGN,N_136_NS_LMGN,['XX_9976'],['N_136_NS_LMGN'],54.45646,3.18781,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_137_L_LMGN,N_137_L_LMGN,['XX_4772'],['N_137_L_LMGN'],31.90594,32.22786,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_138_NS_LMGN,N_138_NS_LMGN,['XX_10015'],['N_138_NS_LMGN'],56.45299,6.23715,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_139_NS_LMGN,N_139_NS_LMGN,['XX_10016'],['N_139_NS_LMGN'],57.0366,3.99831,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_141_NS_LMGN,N_141_NS_LMGN,['XX_10053'],['N_141_NS_LMGN'],53.68255,4.5547,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_146_NS_LMGN,N_146_NS_LMGN,['XX_10071'],['N_146_NS_LMGN'],55.54625,4.715,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_147_NS_LMGN,N_147_NS_LMGN,['XX_10017'],['N_147_NS_LMGN'],54.27421,3.2431,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_149_NS_LMGN,N_149_NS_LMGN,['XX_10023'],['N_149_NS_LMGN'],54.08481,3.61103,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_152_NS_LMGN,N_152_NS_LMGN,['XX_1502'],['N_152_NS_LMGN'],52.91369,3.88785,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_1533_S_LMGN,N_1533_S_LMGN,['XX_8399'],['N_1533_S_LMGN'],44.77567,34.85477,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_158_L_LMGN,N_158_L_LMGN,['XX_4810'],['N_158_L_LMGN'],34.12166,43.88743,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_158_M_LMGN,N_158_M_LMGN,['XX_5492'],['N_158_M_LMGN'],68.37616,47.71144,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_159_L_LMGN,N_159_L_LMGN,['XX_4814'],['N_159_L_LMGN'],36.02435999999999,43.37699,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_159_NS_LMGN,N_159_NS_LMGN,['XX_1131'],['N_159_NS_LMGN'],58.557247,2.528993,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
