id,name,comment,diameter_mm,end_year,is_H_gas,is_bothDirection,lat_mean,length_km,long_mean,max_cap_M_m3_per_d,max_pressure_bar,num_compressor,start_year,waterDepth_m,from_node_id,to_node_id,from_country_code,to_country_code,from_lat,to_lat,from_long,to_long,manually_added
P_P0784_2,Shebelinka-Dnipropetrovsk–Kryvyi Rih–Rozdilna-Izmail Gas Pipeline_2,This pipeline was created by splitting the pipeline with ProjectID: P0784 at node with id: N_kryvyi,0.0,2050,1.0,0.0,47.3827385,,32.4879725,65.75342465753425,,0.0,0.0,,N_kryvyi,INET_N_1089,UA,UA,47.91,45.3199,33.3911,28.45287,True
P_P1460_1,Dikanka-Kremenchuk–Krivyi Rih Gas Pipeline_1,This pipeline was created by splitting the pipeline with ProjectID: P1460 at node with id: N_kremenchuk,0.0,2050,1.0,0.0,49.084999999999994,,33.86055,8.767123287671232,,0.0,0.0,,N_dykanka,N_kremenchuk,UA,UA,50.26,49.0833,34.33,33.4167,True
P_P1460_2,Dikanka-Kremenchuk–Krivyi Rih Gas Pipeline_2,This pipeline was created by splitting the pipeline with ProjectID: P1460 at node with id: N_kremenchuk,0.0,2050,1.0,0.0,49.084999999999994,,33.86055,8.767123287671232,,0.0,0.0,,N_kremenchuk,N_kryvyi,UA,UA,49.0833,47.91,33.4167,33.3911,True
P_P0783_1,Yelets-Kremenchuk–Kryvyi Rih Gas Pipeline_1,This pipeline was created by splitting the pipeline with ProjectID: P0783 at node with id: N_kremenchuk,0.0,2050,1.0,0.0,50.266549999999995,,35.94635,95.06849315068493,,0.0,1986.0,,N_yelets,N_kremenchuk,RU,UA,52.6231,49.0833,38.5016,33.4167,True
P_P0783_2,Yelets-Kremenchuk–Kryvyi Rih Gas Pipeline_2,This pipeline was created by splitting the pipeline with ProjectID: P0783 at node with id: N_kremenchuk,0.0,2050,1.0,0.0,50.266549999999995,,35.94635,95.06849315068493,,0.0,1986.0,,N_kremenchuk,N_kryvyi,UA,UA,49.0833,47.91,33.4167,33.3911,True
P_P1453_1,Efremovka-Dikanka-Kiev Gas Pipeline_1,This pipeline was created by splitting the pipeline with ProjectID: P1453 at node with id: N_dykanka,0.0,2050,1.0,0.0,50.1484885,,33.5502585,45.510317,,0.0,0.0,,N_P1453,N_dykanka,UA,UA,49.846877,50.26,36.577117,34.33,True
P_P1453_2,Efremovka-Dikanka-Kiev Gas Pipeline_2,This pipeline was created by splitting the pipeline with ProjectID: P1453 at node with id: N_dykanka,0.0,2050,1.0,0.0,50.1484885,,33.5502585,45.510317,,0.0,0.0,,N_dykanka,N_kiev,UA,UA,50.26,50.4501,34.33,30.5234,True
P_P1454_1,Shebelinka-Dikanka-Kiev Gas Pipeline_1,This pipeline was created by splitting the pipeline with ProjectID: P1454 at node with id: N_dykanka,0.0,2050,1.0,0.0,49.9478385,,33.5232375,45.510317,,0.0,0.0,,N_shebelinka,N_dykanka,UA,UA,49.445577,50.26,36.523075,34.33,True
P_P1454_2,Shebelinka-Dikanka-Kiev Gas Pipeline_2,This pipeline was created by splitting the pipeline with ProjectID: P1454 at node with id: N_dykanka,0.0,2050,1.0,0.0,49.9478385,,33.5232375,45.510317,,0.0,0.0,,N_dykanka,N_kiev,UA,UA,50.26,50.4501,34.33,30.5234,True
P_P1452_1,Shebelinka-Poltava-Kiev Gas Pipeline_1,This pipeline was created by splitting the pipeline with ProjectID: P1452 at node with id: N_poltava,0.0,2050,1.0,0.0,49.9478385,,33.5232375,45.510317,,0.0,1960.0,,N_shebelinka,N_poltava,UA,UA,49.445577,49.5883,36.523075,34.5519,True
P_P1452_2,Shebelinka-Poltava-Kiev Gas Pipeline_2,This pipeline was created by splitting the pipeline with ProjectID: P1452 at node with id: N_poltava,0.0,2050,1.0,0.0,49.9478385,,33.5232375,45.510317,,0.0,1960.0,,N_poltava,N_kiev,UA,UA,49.5883,50.4501,34.5519,30.5234,True
