id,name,comment,diameter_mm,end_year,is_H_gas,is_bothDirection,lat_mean,length_km,long_mean,max_cap_M_m3_per_d,max_pressure_bar,num_compressor,start_year,waterDepth_m,from_node_id,to_node_id,from_country_code,to_country_code,from_lat,to_lat,from_long,to_long,manually_added
INET_PL_203,Forchheim_Finsing,,1000.0,2050,1.0,0.0,48.524893500000005,67.68258809031109,11.740975500000001,45.51031743360152,100.0,3.0,2019.0,292.0434688938135,INET_N_492,INET_N_499,DE,DE,48.223,48.826787,11.798,11.683951,False
INET_PL_205_EE_0,FosSurMer_Tersanne0,,610.0,2050,1.0,0.0,43.544314,21.924026158074547,4.8515535,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_502,INET_N_1408,FR,FR,43.45,43.638628,4.891,4.812107,False
INET_PL_205_EE_1,FosSurMer_Tersanne1,,610.0,2050,1.0,0.0,43.8621375,50.04550256616734,4.847535000000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1408,INET_N_322,FR,FR,43.638628,44.085647,4.812107,4.882963,False
INET_PL_205_EE_2,FosSurMer_Tersanne2,,610.0,2050,1.0,0.0,44.31574945,51.359877432750515,4.9093,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_322,INET_N_806,FR,FR,44.085647,44.5458519,4.882963,4.935637,False
INET_PL_205_EE_3,FosSurMer_Tersanne3,,610.0,2050,1.0,0.0,44.88037595,74.68289111314988,4.9754985000000005,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_806,INET_N_1480,FR,FR,44.5458519,45.2149,4.935637,5.01536,False
INET_PL_210,GaglianoSparacollo_CalderariEnna_1,,1219.0,2050,1.0,0.0,37.622609499999996,28.79547060109101,14.509398000000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_246,INET_N_515,IT,IT,37.560406,37.684813,14.366079,14.652717,False
INET_PL_212,GaglianoSparacollo_CalderariEnna_2,,1219.0,2050,1.0,0.0,37.622609499999996,28.79547060109101,14.509398000000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_246,INET_N_515,IT,IT,37.560406,37.684813,14.366079,14.652717,False
INET_PL_214,GaglianoSparacollo_CalderariEnna_3,,1219.0,2050,1.0,0.0,37.622609499999996,28.79547060109101,14.509398000000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_246,INET_N_515,IT,IT,37.560406,37.684813,14.366079,14.652717,False
INET_PL_218,GalleseCivitaCast_Ciciliano,,1219.0,2050,1.0,0.0,42.165502000000004,64.0857975877682,12.671885,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_300,INET_N_519,IT,IT,41.957909,42.373095,12.94136,12.40241,False
INET_PL_220,GalleseCivitaCast_Oricola,,1219.0,2050,1.0,0.0,42.2190845,63.3729506532504,12.7260145,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1088,INET_N_519,IT,IT,42.065074,42.373095,13.049619,12.40241,False
INET_PL_222_EE_0,Gazelle_10,,1400.0,2050,1.0,0.0,50.61045,6.541073178770302,13.415500000000002,83.5616,84.0,3.0,2013.0,417.94995449267395,INET_N_209,INET_N_529,CZ,CZ,50.635,50.5859,13.39,13.441,False
INET_PL_222_EE_1,Gazelle_11,,1400.0,2050,1.0,0.0,50.124642,120.69393657164738,12.9954285,83.5616,84.0,3.0,2013.0,417.94995449267395,INET_N_529,INET_N_1263,CZ,CZ,50.5859,49.663384,13.441,12.549857,False
INET_PL_225,Gernsheim_NKP,,500.0,2050,1.0,0.0,49.751830999999996,10.869579409338078,8.62544,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_536,INET_N_615,DE,DE,49.743662,49.76,8.55088,8.7,False
INET_PL_227,Golasecca_Oltrona,,760.0,2050,1.0,0.0,45.727346999999995,25.32352522767952,8.816153,45.51031743360152,24.0,3.0,1983.0,292.0434688938135,INET_N_1081,INET_N_550,IT,IT,45.756957,45.697737,8.973609,8.658697,False
